epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5785.06,1.22437,0.67999,1.09949,0.82405,0.67958,0.79121,0.51679,1.20802,0.66327,1.11499,0.000614,0.000614,0.000614
44,5879.35,1.22617,0.68006,1.0987,0.82334,0.68788,0.79401,0.51769,1.21065,0.65541,1.11461,0.000581,0.000581,0.000581
45,5982.83,1.21148,0.69867,1.09782,0.823,0.68619,0.79345,0.51845,1.20917,0.65104,1.11557,0.000548,0.000548,0.000548
46,6079.72,1.21635,0.67085,1.09754,0.82338,0.68347,0.79229,0.51789,1.20883,0.65433,1.11615,0.000515,0.000515,0.000515
47,6175.23,1.21007,0.67024,1.09778,0.81856,0.68519,0.79233,0.51607,1.21211,0.65626,1.11678,0.000482,0.000482,0.000482
48,6282.11,1.20279,0.66431,1.09405,0.82413,0.68195,0.79049,0.51647,1.20845,0.65726,1.11543,0.000449,0.000449,0.000449
49,6396.23,1.19982,0.66447,1.09469,0.82716,0.68229,0.7931,0.51777,1.20755,0.65272,1.11605,0.000416,0.000416,0.000416
50,6518.78,1.20162,0.65904,1.08752,0.82088,0.68007,0.79064,0.51486,1.21451,0.65818,1.11948,0.000383,0.000383,0.000383
51,6651.55,1.18071,0.64985,1.09345,0.81946,0.68489,0.7921,0.51547,1.21392,0.65643,1.11823,0.00035,0.00035,0.00035
52,6765.14,1.177,0.66617,1.0965,0.8198,0.68191,0.79074,0.51472,1.21591,0.65627,1.12035,0.000317,0.000317,0.000317
53,6873.72,1.16296,0.63058,1.08855,0.82108,0.68059,0.78911,0.51396,1.21484,0.65708,1.12157,0.000284,0.000284,0.000284
54,6994.31,1.16204,0.62954,1.08704,0.82249,0.68073,0.78956,0.51396,1.2173,0.65418,1.12247,0.000251,0.000251,0.000251
55,7120.75,1.16046,0.62729,1.0859,0.81612,0.68534,0.79053,0.51429,1.21843,0.6555,1.12127,0.000218,0.000218,0.000218
56,7247.53,1.1499,0.62013,1.08189,0.821,0.68343,0.79129,0.51361,1.22192,0.65618,1.12468,0.000185,0.000185,0.000185
57,7367.71,1.14645,0.61433,1.07657,0.81959,0.68253,0.78993,0.51271,1.224,0.65834,1.12536,0.000152,0.000152,0.000152
58,7475.28,1.14447,0.61652,1.07372,0.8198,0.68264,0.79012,0.51226,1.22541,0.65782,1.12464,0.000119,0.000119,0.000119
59,7595.74,1.1383,0.61061,1.07022,0.81824,0.68194,0.78919,0.51135,1.22621,0.65822,1.12658,8.6e-05,8.6e-05,8.6e-05
60,7709.94,1.13253,0.60637,1.07106,0.81976,0.68173,0.78863,0.51145,1.22704,0.6595,1.12737,5.3e-05,5.3e-05,5.3e-05
