epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4248.37,1.23497,0.68657,1.11549,0.825,0.68269,0.79719,0.52233,1.20521,0.65869,1.14522,0.000614,0.000614,0.000614
44,4323.98,1.23298,0.68086,1.10995,0.83101,0.68557,0.80021,0.52172,1.211,0.65061,1.14551,0.000581,0.000581,0.000581
45,4398.32,1.22075,0.67648,1.10356,0.82054,0.68832,0.79926,0.52066,1.21266,0.65222,1.15019,0.000548,0.000548,0.000548
46,4505.58,1.22207,0.67372,1.10305,0.82455,0.6878,0.8007,0.52086,1.21407,0.65049,1.14752,0.000515,0.000515,0.000515
47,4598.29,1.22247,0.67304,1.10613,0.81802,0.69035,0.79869,0.52023,1.21467,0.65232,1.14699,0.000482,0.000482,0.000482
48,4690.44,1.212,0.66655,1.10012,0.81964,0.68862,0.7981,0.52116,1.21663,0.65038,1.14918,0.000449,0.000449,0.000449
49,4776.92,1.21253,0.6659,1.09777,0.82298,0.68952,0.80046,0.52218,1.21211,0.6472,1.15011,0.000416,0.000416,0.000416
50,4861.71,1.20114,0.65848,1.09634,0.8247,0.68742,0.79732,0.51744,1.22605,0.65157,1.15569,0.000383,0.000383,0.000383
51,4959.85,1.19268,0.65317,1.10656,0.81641,0.69669,0.80057,0.51946,1.22223,0.64725,1.15195,0.00035,0.00035,0.00035
52,5046.38,1.18001,0.64178,1.09992,0.82674,0.68393,0.79822,0.519,1.21732,0.65087,1.151,0.000317,0.000317,0.000317
53,5130.28,1.1756,0.63606,1.09564,0.82152,0.68907,0.79853,0.51967,1.21816,0.65086,1.15373,0.000284,0.000284,0.000284
54,5215.15,1.16892,0.63211,1.09314,0.82428,0.68791,0.79982,0.51935,1.22356,0.64794,1.15648,0.000251,0.000251,0.000251
55,5301.29,1.16568,0.62549,1.09031,0.82139,0.6887,0.79682,0.51607,1.23121,0.65243,1.15834,0.000218,0.000218,0.000218
56,5383.65,1.15998,0.62346,1.08863,0.82139,0.68922,0.79684,0.51704,1.22889,0.65151,1.15619,0.000185,0.000185,0.000185
57,5461.5,1.15384,0.6196,1.08355,0.82852,0.68535,0.79683,0.51573,1.23163,0.65173,1.15899,0.000152,0.000152,0.000152
58,5538.9,1.15066,0.61383,1.08227,0.8276,0.68439,0.79703,0.51709,1.22814,0.65053,1.15858,0.000119,0.000119,0.000119
59,5630.97,1.1452,0.61017,1.07976,0.8245,0.68577,0.79553,0.51546,1.23244,0.65348,1.16066,8.6e-05,8.6e-05,8.6e-05
60,5715.29,1.14093,0.60677,1.07765,0.81977,0.68866,0.79638,0.51579,1.23214,0.65321,1.1608,5.3e-05,5.3e-05,5.3e-05
